,lat,lng,demand_score
155,42.55122,-71.90266,3287.65372299442
156,42.67088,-71.7508,878.1526930982371
157,42.66675,-72.04902,3790.900076185912
158,42.19689,-71.84549,6711.353508035795
159,42.38378,-71.63552,1311.6571944855887
160,42.0399,-71.53125,3828.5812110967745
161,42.35633,-71.72123,2160.8663111000483
162,42.19364,-72.10441,1183.3801522202302
163,42.13509,-71.96803,5315.849385841506
164,42.4119,-71.68883,6767.45745748186
165,42.20328,-72.04669,710.1964508824034
166,42.0528,-71.75106,3935.7182925439433
167,42.11342,-72.11632,1099.8470241010577
168,42.20077,-71.67892,3281.966427196774
169,42.33685,-71.85181,7364.162877114505
170,42.06012,-72.16592,977.1528319546687
171,42.38142,-71.87111,1290.785841086655
172,42.48176,-71.68079,3776.5740042065286
173,42.24919,-71.91989,2162.639040101863
174,42.09899,-71.64296,0.0
175,42.19228,-71.77397,5345.524964863699
176,42.03906,-71.57767,1157.18469703953
177,42.31929,-72.12794,339.08961095172515
178,42.32314,-71.64621,7293.275781350631
179,42.13991,-71.64433,2643.072276944904
180,42.2695,-72.07794,1665.5729686027853
181,42.23189,-71.69219,3006.699620380862
182,42.16177,-71.89217,729.1610567782011
183,42.11649,-71.85819,4538.211774332942
184,42.45649,-71.88128,1595.5282428516377
185,42.20241,-71.90995,954.9581551704084
186,42.38482,-71.96726,3801.00463396922
187,42.28419,-71.71558,16304.02579442769
188,42.06039,-72.03377,5949.121748679075
189,42.17496,-71.67762,2046.3484319884737
190,42.44581,-71.68845,0.0
191,42.24715,-71.99189,4333.6819712945835
192,42.44124,-71.77297,3546.880864284022
193,42.1047,-72.07745,2861.0040288941927
194,42.17694,-71.60516,3321.704681387463
195,42.05895,-71.63741,5995.071905595138
196,42.05206,-71.8485,6585.33281275925
197,42.05501,-71.93519,4380.86369530726
198,42.26815,-71.61402,9737.326536433691
199,42.37034,-71.78502,3112.044272371266
200,42.23762,-72.16311,1692.6768839910633
201,42.11837,-71.66836,4110.5559294740715
202,42.13387,-71.75179,3935.036681303753
203,42.27219,-71.84946,10379.036422210453
204,42.24373,-71.84429,7263.831849339833
205,42.25085,-71.7683,15599.095758084306
206,42.28979,-71.78802,10972.437031509397
207,42.31367,-71.79614,8799.139712349748
208,42.22684,-71.79037,3366.073124548059
